Account,Zip,Hm_Start_Dt,Channel_Type_Cd,Auto_Ship_Ind,Internal_Decor,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,Brand_Rx_Sls_Amt,Gnrc_Rx_Sls_Amt,Os_Gnrc_Rx_Sls_Amt,Otc_Sls_Amt,IS_HID,340B_Active,Profitability,Annual_Dispense_Fee_Total,Macro_PID,Script_Count,Capture_Rate,Specialty_Spend,Specialty_Product_Purchases,Generic,Brand,Generic_Ratio,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Buying_Group_encoded,Chain_Name_encoded,Region_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,3rd_Party_Vendor_encoded,Hospital_Associated_encoded
242391,30096,735530,30,0,0,365.0,1,1200.0,0,0,0,0,720624,0,736172,735575,0,1,0,0,0,0.0,0.0,0,59551.0,46631.0,231.0,10442.0,2248.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,1,0,1,23,107,1,2,7,25,2,18,15
250602,30148,733937,30,0,0,2500.0,1,0.0,1,1,0,0,735501,1,736346,735353,1,0,1,0,0,0.0,0.0,0,156399.0,114613.0,1810.0,36126.0,3850.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,10,2,13,0,2,1,0,2,23,107,1,5,7,25,3,18,15
264395,30548,735584,30,0,0,950.0,1,0.0,1,1,0,1,735634,0,736627,735569,1,1,0,0,0,0.0,0.0,1,144527.0,103035.0,2565.0,34111.0,4816.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,1,0,2,5,107,1,1,7,25,1,18,15
268394,30521,736070,30,0,0,1722.0,0,0.0,0,0,0,0,736070,1,736074,735402,0,1,0,0,0,0.0,0.0,0,96845.0,68165.0,3246.0,21027.0,4407.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,0,17,37,23,107,0,2,8,65,3,18,15
301078,30173,736054,30,0,0,1722.0,1,1200.0,1,1,0,0,736468,1,736627,735464,0,1,0,0,0,0.0,0.0,0,229696.0,168752.0,3646.0,53493.0,3805.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,6,13,0,2,1,0,2,5,107,1,4,7,25,1,18,15
305557,30311,735887,30,0,0,2500.0,0,1200.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,51335.0,31350.0,820.0,12918.0,6248.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,10,6,13,0,2,9,17,37,23,107,4,4,7,25,2,18,15
423046,79905,732585,30,0,1,0.0,1,240.0,1,0,0,1,735327,1,736619,735335,1,0,0,1,0,3.0,583.42,1,371551.0,309624.0,9692.0,42407.0,9828.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0,43,4,18,0,3,0,17,38,23,59,0,4,3,175,1,16,1
306795,30153,733442,30,1,1,0.0,1,2400.0,0,0,0,1,735311,1,736619,735331,1,1,0,0,0,0.0,0.0,1,172302.0,126342.0,6518.0,34196.0,5246.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,0,17,39,23,107,0,1,3,25,0,18,15
311275,30513,736551,30,0,0,2500.0,0,600.0,0,0,1,0,720624,0,720624,735488,0,0,0,0,0,0.0,0.0,0,83677.0,55360.0,1398.0,24094.0,2825.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,10,6,13,0,2,1,0,2,5,107,1,6,7,25,3,18,15
330078,30341,735209,30,1,0,0.0,1,2330.0,1,1,0,0,720624,1,736624,735624,0,1,0,0,0,0.0,0.0,0,544502.0,350526.0,59146.0,98860.0,35970.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,13,0,2,23,107,1,4,7,25,0,18,15
330446,30577,735809,30,0,0,2500.0,1,1200.0,0,0,0,0,720624,1,736621,735528,0,1,0,0,0,0.0,0.0,0,345714.0,270238.0,5599.0,60214.0,9663.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,10,2,13,0,2,0,0,1,23,107,0,0,6,65,1,18,15
332139,30040,735636,30,0,0,689.0,1,1200.0,0,0,0,1,735680,1,736436,735687,1,1,1,0,0,0.0,0.0,1,29846.0,20443.0,1134.0,6809.0,1461.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,0,0,1,23,107,0,2,7,25,1,18,15
332467,30342,735339,30,0,0,74.0,1,12000.0,0,0,0,1,735661,1,736619,735722,1,1,0,0,0,0.0,0.0,0,64976.0,48649.0,590.0,14199.0,1538.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,1,2,0,17,36,23,107,0,4,8,25,2,18,15
442400,49946,733447,30,0,1,0.0,1,1200.0,0,0,0,0,735904,1,736626,735920,1,0,0,0,0,0.0,0.0,1,131920.0,90769.0,10663.0,23517.0,6971.0,1,1,-15743.0,621635.2999999999,520.0,62000.0,0.5101484359069544,220278.93,201.0,57809.0,8400.0,0.8731290307964175,4,3,1,0,22,2,10,0,0,0,17,38,23,49,0,1,2,52,0,6,0
456195,30342,735339,30,0,0,338.0,1,12000.0,0,0,0,0,720624,1,736619,735722,1,1,0,0,0,0.0,0.0,0,38748.0,17931.0,1774.0,13543.0,5500.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,1,2,0,17,36,23,107,0,4,8,25,2,18,15
