Account,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
691322,15,110349.0,57,72,35,1,95.0
564552,15,82111.0,102,38,1,1,1000.0
324452,15,148068.0,102,38,1,2,0.0
713911,15,13200.0,2,84,31,25,1200.0
831782,15,789248.0,5,52,31,27,1190.0
23526,15,75559.0,6,61,22,22,1200.0
833960,15,484193.0,4,94,10,2,1388.0
653099,15,63034.0,185,39,4,52,1200.0
77700,15,218495.0,65,12,40,2,0.0
236917,15,73170.0,16,96,35,7,1200.0
718422,15,226262.0,47,12,40,2,831.0
433568,15,198194.0,49,32,9,1,937.0
765221,15,324202.0,102,38,1,1,0.0
714224,15,225177.0,193,4,4,36,0.0
426631,15,122501.0,68,32,9,1,1200.0
936474,15,27913.0,94,7,43,37,0.0
274352,2,133285.0,185,122,4,48,0.0
219771,15,32637.0,2,16,31,20,566.0
746531,15,24804.0,6,119,22,37,1200.0
566506,15,116604.0,185,97,4,39,1200.0
902856,15,129891.0,71,23,10,1,170.0
418258,2,124420.0,42,75,17,7,958.0
161733,3,255460.0,100,87,36,34,1100.0
201725,15,87014.0,65,12,40,2,1200.0
754362,15,88220.0,2,111,31,25,400.0
322277,15,50606.0,21,51,10,1,1195.0
331105,1,337308.0,169,90,13,38,1200.0
987811,15,210872.0,49,32,9,1,904.0
647011,15,11082.0,191,83,47,37,1200.0
415142,15,107368.0,104,78,17,7,1200.0
43668,15,125454.0,97,95,43,36,1200.0
786113,1,338610.0,137,45,12,1,0.0
423034,15,96699.0,62,75,17,7,0.0
760844,15,0.0,2,111,6,37,1400.0
266220,15,60619.0,165,50,3,36,0.0
160547,15,203449.0,16,75,17,1,1036.0
241936,15,18228.0,2,84,31,20,1166.0
226855,15,33958.0,35,116,9,1,0.0
428346,15,413036.0,36,72,35,7,1200.0
101056,15,235189.0,107,15,43,39,943.0
179341,15,169584.0,25,93,10,36,0.0
49825,1,124901.0,187,85,4,39,1183.0
262924,15,122390.0,131,6,36,34,0.0
390110,1,23112.0,163,86,5,37,1000.0
576919,15,44222.0,2,48,31,24,1200.0
104512,15,124080.0,128,95,43,38,1200.0
180726,15,78849.0,2,92,34,26,0.0
759599,15,182495.0,170,90,50,39,1200.0
31110,15,596117.0,25,107,10,2,1200.0
526237,0,170457.0,91,110,48,39,6634.0
92841,15,131664.0,112,91,25,1,333.0
666695,3,181493.0,138,98,1,1,1200.0
225958,15,133975.0,151,91,25,37,1200.0
621014,15,134513.0,25,93,10,36,3131.0
