,Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
4427,692312,733567,0,0.0,1,1200.0,0,0,0,1,720624,0,736620,735488,1,0,0,0,0,0.0,0.0,0,194615.0,1,1,1,1,0,49,6,16,0,0,1,1,112,1,0,7,58,1,15
4428,154123,735186,1,2500.0,0,1200.0,0,0,0,0,735417,1,736434,735431,1,1,0,0,0,0.0,0.0,0,44975.0,5,0,1,0,0,5,6,7,0,3,0,37,86,0,3,8,163,1,0
4429,441469,732646,1,822.98,1,4896.0,1,1,0,0,735305,1,736627,735317,1,1,0,1,0,1.0,2126.66,1,215651.0,0,0,1,1,0,48,2,11,0,0,0,38,49,0,1,5,144,0,0
4430,891076,734806,0,2500.0,1,2400.0,0,0,0,0,735444,1,736297,735975,1,0,0,1,0,1.0,917.07,0,138411.0,5,0,1,0,0,49,2,16,0,0,0,6,112,0,2,2,58,1,15
4431,27838,734420,1,2500.0,1,2780.0,1,1,0,0,720624,1,736521,735331,1,1,0,0,0,0.0,0.0,1,96823.0,5,0,1,0,0,38,6,1,0,1,0,36,113,0,3,8,17,1,15
4432,390110,736412,0,2000.0,0,1000.0,0,0,0,0,720624,0,720624,720624,1,0,0,0,0,0.0,0.0,0,23112.0,5,4,0,0,1,5,6,7,0,3,0,37,86,0,6,8,163,1,1
4433,34033,736060,0,2000.0,1,988.0,1,0,0,1,720624,1,736624,735499,1,0,0,0,0,0.0,0.0,0,357569.0,5,4,2,0,0,34,2,1,0,1,0,37,113,0,6,8,15,1,15
4434,54882,732944,1,0.0,1,3080.0,1,1,0,0,735304,1,736599,735317,1,1,0,1,0,4.0,669.36,1,271958.0,0,0,1,1,0,34,2,1,0,1,0,37,113,0,1,2,15,1,15
4435,47662,732771,1,33.65,1,1200.0,0,0,0,1,735550,1,736619,735575,1,1,0,0,0,0.0,0.0,0,98687.0,5,0,1,0,0,12,2,11,0,0,0,38,74,0,1,6,109,1,0
4436,392905,735492,0,2500.0,0,0.0,0,0,0,0,735529,1,736192,735540,0,0,0,0,0,0.0,0.0,0,42096.0,5,4,1,0,0,5,2,7,0,3,0,37,86,0,6,8,163,3,0
4437,284675,733826,0,722.0,1,0.0,0,0,0,0,735521,1,735764,735533,1,1,0,0,0,0.0,0.0,1,385494.0,0,0,1,1,0,7,6,3,9,1,0,8,76,0,3,3,12,3,3
