Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
769016,733517,0,0.0,1,2400.0,0,0,0,1,735486,0,735916,735488,1,0,0,0,0,0.0,0.0,0,207277.0,3,0,0,1,0,1,2,4,1,2,1,1,77,1,4,7,102,1,15
769557,733503,1,0.0,1,124.0,1,1,0,0,735311,1,735658,735331,0,1,0,1,0,1.0,1093.3,1,408752.0,3,0,1,1,0,1,2,4,0,2,0,2,77,0,3,7,140,0,15
770077,733547,1,2500.0,1,150.0,1,1,0,1,720624,0,720624,735488,1,1,0,1,0,1.0,138.78,0,194256.0,0,0,1,0,0,1,2,4,0,2,0,2,77,0,1,7,140,1,15
7070,734315,0,1822.0,1,573.0,1,0,0,0,735347,1,736410,735353,1,1,0,1,0,5.0,7543.11,1,390587.0,0,0,1,1,0,36,2,17,0,2,16,39,56,3,1,7,130,1,0
789281,735927,0,2500.0,0,0.0,0,0,0,0,720624,0,720624,735488,0,0,0,0,0,0.0,0.0,0,73335.0,5,4,0,0,0,42,6,4,0,2,0,1,77,0,6,7,126,3,15
836835,733377,0,0.0,1,1200.0,0,0,0,1,735366,1,736566,735408,1,1,0,1,0,5.0,929.25,1,352769.0,0,0,1,1,0,1,2,4,0,2,0,1,77,0,4,7,102,0,15
846131,733545,1,0.0,1,0.0,1,1,0,1,720624,0,736303,735488,1,1,0,0,0,0.0,0.0,0,201545.0,0,3,1,1,0,1,2,4,0,2,0,1,77,0,1,7,140,0,15
41736,735179,1,1788.0,1,1200.0,0,1,0,0,720624,0,736403,735464,1,0,0,1,1,3.0,227.01,1,119055.0,5,0,1,1,0,36,2,17,0,2,16,39,56,3,4,7,124,0,1
42796,732463,0,1564.0,1,0.0,1,1,0,0,736054,1,736607,735488,1,1,0,1,0,5.0,1920.2,1,360067.0,0,0,1,1,0,17,2,22,0,0,0,1,78,0,1,2,104,0,15
189502,735671,1,2306.0,1,1144.0,1,1,0,0,736022,1,736571,735554,0,1,0,0,0,0.0,0.0,0,209024.0,5,0,1,0,0,36,2,17,0,2,16,34,56,3,2,7,124,1,1
