,Hospital_Associated_encoded,Tot_Sls_Amt,Msa_Dma_encoded,Salesperson_encoded,ST_encoded,Chain_Name_encoded,LMS_Available_Matching_Funds
3147,15,149788.0,197,85,4,39,0.0
2837,15,462619.0,56,73,42,2,1200.0
2394,15,118248.0,125,62,48,37,0.0
1877,0,282943.0,12,46,49,22,182.0
1878,15,138927.0,144,49,48,38,4896.0
1812,1,212372.0,44,9,19,37,1200.0
1591,3,126949.0,16,96,35,7,0.0
2295,3,280510.0,86,13,1,1,1200.0
1945,0,172341.0,7,63,19,37,1200.0
4350,15,238524.0,2,111,34,20,1200.0
3554,15,111662.0,25,93,10,1,1200.0
3006,15,613749.0,177,79,44,39,1200.0
4360,15,90008.0,2,111,34,20,1200.0
3244,15,87121.0,120,87,36,34,1000.0
4711,15,63027.0,6,119,22,36,114.0
362,1,387165.0,98,18,12,38,0.0
758,15,162205.0,2,19,34,25,1200.0
4631,15,76589.0,40,122,9,37,1200.0
1358,15,110520.0,102,35,1,1,1200.0
2419,15,344774.0,7,63,19,34,0.0
593,15,65977.0,86,13,1,1,1200.0
613,15,336592.0,149,14,18,2,6000.0
1295,0,114922.0,109,74,12,36,3600.0
4308,15,89290.0,145,110,48,38,0.0
3923,15,103436.0,72,103,20,22,1156.0
2433,15,1120412.0,112,64,42,1,830.0
14,15,87080.0,6,2,22,37,0.0
3236,15,62740.0,106,87,36,34,1200.0
2262,15,57806.0,29,58,9,37,0.0
4164,15,29846.0,25,107,10,1,1200.0
2966,15,63313.0,104,78,17,7,1200.0
1728,15,274560.0,138,44,1,2,1200.0
4835,15,167664.0,12,121,49,22,0.0
3871,5,182135.0,200,30,47,38,3353.0
2247,15,79140.0,29,58,9,12,0.0
2722,15,29509.0,97,71,43,39,757.0
3901,15,179926.0,193,102,4,36,1200.0
786,15,66779.0,2,19,31,20,1200.0
4629,15,29718.0,195,117,33,38,1200.0
1977,15,31690.0,5,52,38,37,0.0
1498,15,260954.0,102,38,1,1,150.0
3720,15,73490.0,185,97,4,38,2200.0
3496,15,169012.0,2,92,34,26,1200.0
1077,15,41673.0,2,29,31,24,1190.0
2119,15,42733.0,163,55,5,37,1200.0
2199,15,178926.0,108,57,43,1,1200.0
2898,15,46888.0,42,75,17,6,1200.0
3805,15,121030.0,12,100,20,27,0.0
1189,15,318632.0,49,32,9,1,0.0
4381,15,122239.0,2,111,34,20,0.0
1516,15,464993.0,185,39,4,37,1200.0
2455,1,442817.0,102,23,1,2,150.0
103,15,90667.0,186,4,4,36,0.0
482,15,110728.0,34,11,6,37,1200.0
